,losses
0,"tensor(0.0027, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.6715, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3340, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.5962, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.5780, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0028, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0039, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2991, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2987, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.9355, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0059, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.8784, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0033, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2955, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.5978, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.5176, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0036, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.8835, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.5380, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1651, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0044, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.8193, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0053, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2785, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0055, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0051, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0039, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2571, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0043, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1432, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0058, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1277, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2654, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0030, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2646, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
